year,CTY_CODE,CTYNAME,I_1,IYR,E_1,EYR
2001,1,OPEC,5793.1,59753.9,1705,20052.4
2002,1,OPEC,3733.2,53244.6,1238.1,18811.8
2003,1,OPEC,4827.229934,68343.90934,1126.036445,17279.44481
2004,1,OPEC,5949.285059,92099.45605,1422.7,22256.33
2005,1,OPEC,8149.278487,127169.0657,1991.8,31640.8
2006,1,OPEC,11492.36574,150758.2283,2472.6,38658.4
2007,1,OPEC,11588.60337,165651.463,2968.4,48485
2008,1,OPEC,20302.1,242578.7,4377.1,64879.9
2009,1,OPEC,7982.701834,111602.3306,3924.52019,49856.99712
2010,1,OPEC,10966.44522,149893.094,3757.759429,54225.78907
2011,1,OPEC,14357.52669,191504.0005,4321.089547,64625.15822
2012,1,OPEC,15766.91878,180769.9808,5857.03847,81722.06452
2013,1,OPEC,14317.77425,77389.69796,7918.796014,44237.4546
2001,3,European Union,19413.6,226568.2,13908.7,161931
2002,3,European Union,16444.7,232313.4,11619.6,146621.2
2003,3,European Union,18656,253041.7,12073.1,155170.1
2004,3,European Union,19117.095,281958.624,12703.9,171229.64
2005,3,European Union,21997.6,309627.98,13982.1,185165.9
2006,3,European Union,24878.4,330481.7,15035.4,211886.9
2007,3,European Union,26094.34069,354409.2623,19237.50633,244165.9036
2008,3,European Union,27757.79818,367617.4479,21151.38215,271810.0855
2009,3,European Union,21187.93074,281800.8467,17666.98748,220599.3458
2010,3,European Union,21293.22372,319263.8226,18550.49763,239590.9601
2011,3,European Union,26134.26621,368475.2268,20219.04852,268455.2839
2012,3,European Union,29590.71084,381207.6484,21097.67942,265359.6409
2013,3,European Union,28883.82457,187346.416,20237.64866,129707.3961
2001,4,"World, Seasonally Adjusted",105470,1140999,65869,729100
2002,4,"World, Seasonally Adjusted",89443,1161366,55939,693104
2003,4,"World, Seasonally Adjusted",102284,1257121,58068,724771
2004,4,"World, Seasonally Adjusted",110890,1469703,62693,814874.5
2005,4,"World, Seasonally Adjusted",132065,1673456,71669,901081.8
2006,4,"World, Seasonally Adjusted",152919,1853939,80555,1025969
2007,4,"World, Seasonally Adjusted",156000,1956962,90847,1148197
2008,4,"World, Seasonally Adjusted",175412,2103641,104441,1287441
